Index,Adsorbent,Directory,co2_0.1bar,co2_2.67bar,CH4_0.2bar,CH4_5.33bar,CO2_wc,CH4_wc,CO2_sc
2390,LIWFOM_clean,MOF2390,0.050189136,3.029283411,0.049243852,0.792915201,2.979094275,0.743671349,7.756646967094784
2391,LIXWAR_clean,MOF2391,0.195887653,10.17541446,0.196008076,2.952882589,9.979526807000001,2.756874513,6.99627370545862
2392,LIXWAR01_clean,MOF2392,0.197869479,10.02338502,0.199701635,2.957725332,9.825515541,2.758023697,6.880459371877875
2393,LOBHAM_clean,MOF2393,0.120879578,9.281604718,0.122283479,2.260737174,9.16072514,2.138453695,8.335542230098396
2394,LOCZIO_clean,MOF2394,0.183024128,6.850486333,0.179704362,2.402766648,6.667462205,2.223062286,5.788561770039766
2395,LODCUC_clean,MOF2395,0.152923611,1.164642814,0.153160902,1.130435348,1.011719203,0.977274446,2.0917408843135794
2396,LODKIA_clean,MOF2396,0.208355659,9.877253336,0.210296936,3.366883493,9.668897677,3.156586557,5.956195817540134
2397,LODPOK_clean,MOF2397,0.346624198,3.296001031,0.338903181,3.040518138,2.9493768329999996,2.701614957,2.200901483693505
2398,LODPUQ_clean,MOF2398,0.387509714,3.34300081,0.383835646,3.114627083,2.955491096,2.7307914369999997,2.179170890760692
2399,LODTAB_clean,MOF2399,0.172948102,6.458669613,0.172586905,3.158935949,6.285721510999999,2.986349044,4.15109919881443
2400,LOFJAT_clean,MOF2400,0.295082624,17.6435874,0.291931516,3.468420271,17.348504776000002,3.176488755,10.327995503644193
2401,LOGXEM_clean,MOF2401,0.016477966,0.318193627,0.016475325,0.409781321,0.30171566099999997,0.393305996,1.5765225304674444
2402,LOJFOF_clean,MOF2402,0.192671087,6.463365674,0.19257534,2.356256535,6.270694587,2.163681195,5.569253907184936
2403,LOJFUL_clean,MOF2403,0.126123488,12.92604088,0.125645098,2.546653215,12.799917392000001,2.421008117,10.30520363507163
2404,LONVAN_clean,MOF2404,0.066285344,2.880329097,0.066811963,1.622982268,2.814043753,1.556170305,3.603206892158782
2405,LONVIV_clean,MOF2405,0.078719289,2.30651524,0.079369879,1.894925636,2.227795951,1.815555757,2.471297444208582
2406,LONWIW_clean,MOF2406,0.150187414,17.82927184,0.152383357,3.241885277,17.679084426,3.08950192,11.165979531005004
2407,LOPZAS_clean,MOF2407,0.133348195,4.179807844,0.130287283,2.197917405,4.046459649,2.067630122,3.8610534283282476
2408,LORNEL_clean,MOF2408,0.034994817,0.604865479,0.034525445,0.855764898,0.569870662,0.821239453,1.4350439213030142
2409,LOSBOM_clean,MOF2409,0.318099632,19.51972298,0.315020355,5.537076125,19.201623348000002,5.22205577,7.157379061132143
2410,LOTDIJ_clean,MOF2410,0.25865306,3.778362092,0.264988955,2.671677834,3.519709032,2.406688879,2.8713117679628497
2411,LOVLEP_clean,MOF2411,0.032350679,2.262352169,0.032303388,0.707039779,2.2300014900000003,0.674736391,6.496466819490412
2412,LOXBEH_clean,MOF2412,0.079649272,8.006651135,0.077689748,1.523729894,7.927001863,1.4460401459999999,10.668510295676919
